#Resonances	Weight
0.710368513	    0
0.791969498     0
0.897721017     0
1.173532695     1
1.245700296     1
1.331322804     1
1.377093797     1
1.417352576     1
1.503631205     1
1.557241138     1
1.597273332     1
1.600450762     1
1.712187451     1
1.776417646     1
1.785742716     1
1.837103387     1
1.854982507     1
1.915938476     1
1.978107955     1
1.983529162     1
2.035470336     1
2.072811497     1
2.163056493     1
2.175701288     1
2.203265692     1
2.208303656     1
2.229028449     1
2.232260008     1
2.233508361     1
2.281392905     1
2.321257853     1
2.330996910     1
2.347193387     1
2.441464897     1
2.460130857     1
2.502103519     1
2.506615397     1
2.537562308     1
2.576496087     1
2.585003771     1
2.598504843     1
2.628646750     1
2.651671834     1
2.683088939     1
2.705176785     1
2.747821989     1
2.751756453     1
2.753921904     1
2.787894979     1
2.800714334     1
